player1,player2,ranking_1,ranking_2,surface,tournament,match_date,winner,winrate_1,winrate_2
Novak Djokovic,Rafael Nadal,2.0,1.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,79.41176470588235
Roberto Bautista Agut,Dusan Lajovic,10.0,34.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,46.666666666666664
Novak Djokovic,Daniil Medvedev,2.0,5.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,73.68421052631578
Dusan Lajovic,Karen Khachanov,34.0,17.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,57.14285714285714
Dusan Lajovic,Karen Khachanov,34.0,17.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,57.14285714285714
Rafael Nadal,Alex De Minaur,1.0,18.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,56.52173913043478
Roberto Bautista Agut,Nick Kyrgios,10.0,29.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,66.66666666666666
Novak Djokovic,Denis Shapovalov,2.0,14.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,53.125
Dusan Lajovic,Felix Auger Aliassime,34.0,21.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,54.761904761904766
Daniil Medvedev,Diego Schwartzman,5.0,13.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,60.97560975609756
Daniil Medvedev,Diego Schwartzman,5.0,13.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,60.97560975609756
Daniil Medvedev,Diego Schwartzman,5.0,13.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,60.97560975609756
Karen Khachanov,Guido Pella,17.0,25.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,41.17647058823529
Daniel Evans,Alex De Minaur,42.0,18.0,Hard,Atp Cup,2020-01-06,0,57.57575757575758,56.52173913043478
Nick Kyrgios,Cameron Norrie,29.0,52.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,40.909090909090914
David Goffin,Rafael Nadal,11.0,1.0,Hard,Atp Cup,2020-01-06,0,52.17391304347826,79.41176470588235
Roberto Bautista Agut,Kimmer Coppejans,10.0,158.0,Hard,Atp Cup,2020-01-06,0,,
Novak Djokovic,Gael Monfils,2.0,9.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,69.56521739130434
Novak Djokovic,Gael Monfils,2.0,9.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,69.56521739130434
Benoit Paire,Dusan Lajovic,24.0,34.0,Hard,Atp Cup,2020-01-06,0,43.47826086956522,46.666666666666664
Novak Djokovic,Kevin Anderson,2.0,147.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,50.0
Dusan Lajovic,Lloyd Harris,34.0,99.0,Hard,Atp Cup,2020-01-06,0,46.666666666666664,50.0
Novak Djokovic,Cristian Garin,2.0,33.0,Hard,Atp Cup,2020-01-06,0,89.13043478260869,60.0
Dusan Lajovic,Nicolas Jarry,34.0,77.0,Hard,Atp Cup,2020-01-06,0,,
Kevin Anderson,Benoit Paire,147.0,24.0,Hard,Atp Cup,2020-01-06,0,50.0,43.47826086956522
Gilles Simon,Lloyd Harris,57.0,99.0,Hard,Atp Cup,2020-01-06,0,47.82608695652174,50.0
Gael Monfils,Cristian Garin,9.0,33.0,Hard,Atp Cup,2020-01-06,0,69.56521739130434,60.0
Benoit Paire,Nicolas Jarry,24.0,77.0,Hard,Atp Cup,2020-01-06,0,,
Kevin Anderson,Cristian Garin,147.0,33.0,Hard,Atp Cup,2020-01-06,0,50.0,60.0
Lloyd Harris,Nicolas Jarry,99.0,77.0,Hard,Atp Cup,2020-01-06,0,,
Rafael Nadal,Yoshihito Nishioka,1.0,72.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,53.84615384615385
Roberto Bautista Agut,Go Soeda,10.0,119.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,33.33333333333333
Rafael Nadal,Nikoloz Basilashvili,1.0,26.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,23.52941176470588
Roberto Bautista Agut,Aleksandre Metreveli,10.0,678.0,Hard,Atp Cup,2020-01-06,0,71.42857142857143,25.0
Rafael Nadal,Pablo Cuevas,1.0,45.0,Hard,Atp Cup,2020-01-06,0,79.41176470588235,36.36363636363637
Roberto Bautista Agut,Franco Roncadelli,10.0,,Hard,Atp Cup,2020-01-06,0,,
Yoshihito Nishioka,Nikoloz Basilashvili,72.0,26.0,Hard,Atp Cup,2020-01-06,0,53.84615384615385,23.52941176470588
Go Soeda,Aleksandre Metreveli,119.0,678.0,Hard,Atp Cup,2020-01-06,0,33.33333333333333,25.0
Yoshihito Nishioka,Pablo Cuevas,72.0,45.0,Hard,Atp Cup,2020-01-06,0,53.84615384615385,36.36363636363637
Go Soeda,Martin Cuevas,119.0,523.0,Hard,Atp Cup,2020-01-06,0,,
Nikoloz Basilashvili,Pablo Cuevas,26.0,45.0,Hard,Atp Cup,2020-01-06,0,23.52941176470588,36.36363636363637
Aleksandre Metreveli,Franco Roncadelli,678.0,,Hard,Atp Cup,2020-01-06,0,,
Daniel Evans,David Goffin,42.0,11.0,Hard,Atp Cup,2020-01-06,0,57.57575757575758,52.17391304347826
Steve Darcis,Cameron Norrie,200.0,52.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,40.909090909090914
David Goffin,Grigor Dimitrov,11.0,20.0,Hard,Atp Cup,2020-01-06,0,52.17391304347826,63.33333333333333
Dimitar Kuzmanov,Steve Darcis,417.0,200.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,66.66666666666666
David Goffin,Radu Albot,11.0,46.0,Hard,Atp Cup,2020-01-06,0,52.17391304347826,35.0
Steve Darcis,Alexander Cozbinov,200.0,816.0,Hard,Atp Cup,2020-01-06,0,,
Grigor Dimitrov,Daniel Evans,20.0,42.0,Hard,Atp Cup,2020-01-06,0,63.33333333333333,57.57575757575758
Cameron Norrie,Dimitar Kuzmanov,52.0,417.0,Hard,Atp Cup,2020-01-06,0,40.909090909090914,66.66666666666666
Daniel Evans,Radu Albot,42.0,46.0,Hard,Atp Cup,2020-01-06,0,57.57575757575758,35.0
Cameron Norrie,Alexander Cozbinov,52.0,816.0,Hard,Atp Cup,2020-01-06,0,,
Grigor Dimitrov,Radu Albot,20.0,46.0,Hard,Atp Cup,2020-01-06,0,63.33333333333333,35.0
Dimitar Kuzmanov,Alexander Cozbinov,417.0,816.0,Hard,Atp Cup,2020-01-06,0,,
Daniil Medvedev,Fabio Fognini,5.0,12.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,33.33333333333333
Karen Khachanov,Stefano Travaglia,17.0,82.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,37.5
Daniil Medvedev,John Isner,5.0,19.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,50.0
Karen Khachanov,Taylor Fritz,17.0,31.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,48.275862068965516
Daniil Medvedev,Casper Ruud,5.0,53.0,Hard,Atp Cup,2020-01-06,0,73.68421052631578,62.857142857142854
Karen Khachanov,Viktor Durasovic,17.0,329.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,25.0
Fabio Fognini,John Isner,12.0,19.0,Hard,Atp Cup,2020-01-06,0,33.33333333333333,50.0
Stefano Travaglia,Taylor Fritz,82.0,31.0,Hard,Atp Cup,2020-01-06,0,37.5,48.275862068965516
Stefano Travaglia,Taylor Fritz,82.0,31.0,Hard,Atp Cup,2020-01-06,0,37.5,48.275862068965516
Casper Ruud,Fabio Fognini,53.0,12.0,Hard,Atp Cup,2020-01-06,0,62.857142857142854,33.33333333333333
Casper Ruud,Fabio Fognini,53.0,12.0,Hard,Atp Cup,2020-01-06,0,62.857142857142854,33.33333333333333
Stefano Travaglia,Viktor Durasovic,82.0,329.0,Hard,Atp Cup,2020-01-06,0,37.5,25.0
Casper Ruud,John Isner,53.0,19.0,Hard,Atp Cup,2020-01-06,0,62.857142857142854,50.0
Taylor Fritz,Viktor Durasovic,31.0,329.0,Hard,Atp Cup,2020-01-06,0,48.275862068965516,25.0
Borna Coric,Dominic Thiem,28.0,4.0,Hard,Atp Cup,2020-01-06,0,57.14285714285714,73.52941176470588
Marin Cilic,Dennis Novak,38.0,105.0,Hard,Atp Cup,2020-01-06,0,55.55555555555556,33.33333333333333
Dominic Thiem,Diego Schwartzman,4.0,13.0,Hard,Atp Cup,2020-01-06,0,73.52941176470588,60.97560975609756
Dennis Novak,Guido Pella,105.0,25.0,Hard,Atp Cup,2020-01-06,0,33.33333333333333,41.17647058823529
Hubert Hurkacz,Dominic Thiem,37.0,4.0,Hard,Atp Cup,2020-01-06,0,53.57142857142857,73.52941176470588
Kacper Zuk,Dennis Novak,448.0,105.0,Hard,Atp Cup,2020-01-06,0,66.66666666666666,33.33333333333333
Diego Schwartzman,Borna Coric,13.0,28.0,Hard,Atp Cup,2020-01-06,0,60.97560975609756,57.14285714285714
Guido Pella,Marin Cilic,25.0,38.0,Hard,Atp Cup,2020-01-06,0,41.17647058823529,55.55555555555556
Hubert Hurkacz,Borna Coric,37.0,28.0,Hard,Atp Cup,2020-01-06,0,53.57142857142857,57.14285714285714
Marin Cilic,Kacper Zuk,38.0,448.0,Hard,Atp Cup,2020-01-06,0,55.55555555555556,66.66666666666666
Hubert Hurkacz,Diego Schwartzman,37.0,13.0,Hard,Atp Cup,2020-01-06,0,53.57142857142857,60.97560975609756
Guido Pella,Kamil Majchrzak,25.0,97.0,Hard,Atp Cup,2020-01-06,0,,
Stefanos Tsitsipas,Alexander Zverev,6.0,7.0,Hard,Atp Cup,2020-01-06,0,68.18181818181817,71.7948717948718
